2025-05-21 17:16:24 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-21 17:16:24 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-21 17:16:24 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-21 17:16:24 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-21 17:16:24 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-21 17:16:24 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-21 17:16:24 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-21 17:16:24 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [GET, OPTIONS, HEAD] /static/<path:filename>', 'index [GET, OPTIONS, HEAD] /', 'all_employees [GET, OPTIONS, HEAD] /employees', 'bench_employees [GET, OPTIONS, HEAD] /employees/bench', 'active_projects [GET, OPTIONS, HEAD] /employees/active_projects', 'completed_projects [GET, OPTIONS, HEAD] /employees/completed_projects']
2025-05-21 17:16:24 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-21 17:16:25 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-21 17:16:25 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-21 17:16:25 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
