2025-05-25 15:03:01 | INFO     | app.service.employee_service:12 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-25 15:03:01 | INFO     | app.service.employee_service:16 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-25 15:03:01 | INFO     | app.service.employee_service:24 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Vikram Deshmukh', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Pune', 'dob': '****-**-**', 'projects': []}
2025-05-25 15:03:01 | INFO     | app.service.employee_service:33 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-25 15:03:01 | INFO     | app.service.employee_service:35 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-25 15:03:01 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-25 15:03:01 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-25 15:03:01 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [HEAD, OPTIONS, GET] /static/<path:filename>', 'health_check [HEAD, OPTIONS, GET] /', 'fetch_all_employees [HEAD, OPTIONS, GET] /employees', 'fetch_bench_employees [HEAD, OPTIONS, GET] /employees/bench', 'fetch_active_project_employees [HEAD, OPTIONS, GET] /employees/active_projects', 'fetch_completed_project_employees [HEAD, OPTIONS, GET] /employees/completed_projects']
2025-05-25 15:03:01 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-25 15:03:02 | INFO     | app.service.employee_service:12 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-25 15:03:02 | INFO     | app.service.employee_service:16 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-25 15:03:02 | INFO     | app.service.employee_service:24 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Vikram Deshmukh', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Pune', 'dob': '****-**-**', 'projects': []}
2025-05-25 15:03:02 | INFO     | app.service.employee_service:33 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-25 15:03:02 | INFO     | app.service.employee_service:35 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-25 15:03:02 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-25 15:03:02 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-25 15:03:02 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [GET, OPTIONS, HEAD] /static/<path:filename>', 'health_check [GET, OPTIONS, HEAD] /', 'fetch_all_employees [GET, OPTIONS, HEAD] /employees', 'fetch_bench_employees [GET, OPTIONS, HEAD] /employees/bench', 'fetch_active_project_employees [GET, OPTIONS, HEAD] /employees/active_projects', 'fetch_completed_project_employees [GET, OPTIONS, HEAD] /employees/completed_projects']
2025-05-25 15:03:02 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-25 15:04:09 | INFO     | app.service.employee_service:44 | get_all_employees() | [Thread-2 (process_request_thread)] | API REQUEST: Retrieving complete employee dataset containing 15 records
2025-05-25 15:04:09 | INFO     | app.service.employee_service:46 | get_all_employees() | [Thread-2 (process_request_thread)] | API RESPONSE: Returning 15 employee records with 10 total projects
2025-05-25 15:05:00 | INFO     | app.service.employee_service:12 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-25 15:05:00 | INFO     | app.service.employee_service:16 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-25 15:05:00 | INFO     | app.service.employee_service:24 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Vikram Deshmukh', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Pune', 'dob': '****-**-**', 'projects': []}
